Station Name,Latitude,Longitude,Elevation,IATA,WMO ID,Climate ID,Starting Date (hourly data),Ending Date (hourly data),Starting Date (daily data),Ending Date (daily data),Associated Location
JERVIS INLET VANC BAY,49.92,-123.87,2 m,,,1043722,,,1984-04-01,1993-04-01,
JESMOND,51.27,-121.97,1158 m,,,1093730,,,1974-05-01,1978-11-01,
JIMMY LAKE,54.9,-109.97,636 m,WHN,,4063621,1994-02-15,2004-06-22,,,
JIMMY LAKE AWOS,54.91,-109.96,637 m,WHN,71023,4063623,2004-03-01,+,2004-01-01,2021-03-01,
JOB CREEK,52.35,-116.78,2005 m,,,3053552,,,1998-06-01,2007-09-01,
JOE RICH CREEK,49.86,-119.13,875 m,,,1123750,,,1928-09-01,2008-12-01,
JOHN WAYNE PONDEROSA,59.2,-117.52,395 m,,,307CE64,,,1989-06-01,1994-10-01,
JOHNNY MOUNTAIN,56.63,-131.08,1075 m,,,120CPNA,,,1988-04-01,1992-09-01,
JOHNSON LAKE LO,57.58,-110.33,549 m,,,3063563,,,1965-05-01,2011-08-01,
JOHNSON POINT A,72.77,-118.5,9 m,,,2502657,1972-04-01,1976-04-30,1972-04-01,1976-04-01,
JOHNSONS CROSSING,60.48,-133.3,690 m,,,2100670,,,1963-08-01,1995-05-01,
JOLIETTE,46.03,-73.43,59 m,,,7013360,,,1913-10-01,1972-09-01,
JOLIETTE VILLE,46.02,-73.43,56 m,,,7013362,,,1967-02-01,2011-04-01,
JONQUIERE (Jonquière),48.43,-71.14,136 m,WJO,71617,7063370,1994-02-01,+,1963-01-01,+,Saguenay
JORDAN,43.12,-79.38,175 m,,,6133880,,,1965-01-01,1969-11-01,
JOUTEL,49.47,-78.3,290 m,,,7093376,,,1973-07-01,1998-10-01,
JUMPING POUND,51.08,-114.55,,,,3033572,,,1905-09-01,1916-08-01,
JUNCTION LO,50.55,-114.68,2239 m,,,3053575,,,1963-05-01,2011-08-01,
JUNIPER,46.55,-67.17,259 m,,,8102275,,,1969-07-01,2017-10-01,
KAGAWONG,45.92,-82.27,180 m,,,6093900,,,1951-01-01,1961-09-01,
KAKABEKA FALLS,48.4,-89.62,278 m,,,6043930,,,1908-11-01,1977-03-01,
KAKWA,54.2,-118.9,1246 m,,,3073584,,,1990-05-01,2011-09-01,
KAKWA LO,54.43,-118.97,1213 m,,,3073585,,,1956-04-01,2011-09-01,
KAKWA NOTUS,54.2,-119.88,1347 m,,,3053587,,,1972-04-01,1972-09-01,
KALADAR,44.65,-77.12,215 m,,,6153935,,,1998-05-01,2015-12-01,Kaladar
KALDER LAKE,54.97,-124.25,969 m,,,1093777,,,1973-07-01,1988-08-01,
KALEIDA,49.13,-98.47,478 m,,,5021395,,,1993-12-01,2000-05-01,
KAMINISTIKWIA,48.55,-89.4,457 m,,,6043949,,,1973-11-01,1974-07-01,
KAMLOOPS,50.67,-120.33,379 m,,,1163779,,,1878-01-01,1982-12-01,
KAMLOOPS A (Kamloops Airport),50.7,-120.45,345 m,YKA,71887,1163781,2013-06-11,+,2013-06-01,+,Kamloops
KAMLOOPS A (Kamloops Airport),50.7,-120.44,345 m,YKA,71887,1163780,1953-01-01,2013-06-13,1951-01-01,2013-06-01,Kamloops
KAMLOOPS AFTON MINES,50.67,-120.5,701 m,,,1163790,,,1977-05-01,1993-12-01,
KAMLOOPS AUT,50.7,-120.44,345 m,ZKA,71741,1163842,2006-04-18,+,2006-04-01,2021-03-01,
KAMLOOPS CDA,50.72,-120.45,345 m,,,1163810,,,1949-08-01,1977-05-01,
KAMLOOPS CHERRY CREEK,50.68,-120.58,556 m,,,1163814,,,1970-09-01,1974-06-01,
KAMLOOPS CHERRY CREEK 2,50.65,-120.58,701 m,,,1163815,,,1974-08-01,1977-03-01,
KAMLOOPS DALLAS,50.67,-120.17,346 m,,,116CQAK,,,1989-06-01,1989-11-01,
KAMLOOPS GLENEAGLES,50.67,-120.37,601 m,,,1163817,,,1986-07-01,1988-04-01,
KAMLOOPS KIMBERLY CRESCENT,50.72,-120.37,345 m,,,1163826,,,1986-09-01,1989-06-01,
KAMLOOPS MISSION FLATS,50.68,-120.35,345 m,,,1163840,,,1939-05-01,1957-02-01,
KAMLOOPS PRATT ROAD,50.63,-120.17,729 m,,,116C8P0,,,1986-06-01,2021-03-01,
KAMLOOPS RAYLEIGH,50.82,-120.29,357 m,,,116L87J,,,1986-06-01,2002-08-01,
KAMLOOPS RIDGEVIEW TERRACE,50.7,-120.38,342 m,,,116LQPJ,,,1986-08-01,1990-03-01,
KAMLOOPS TUNSTALL CRES,50.67,-120.32,442 m,,,1163873,,,1970-01-01,1974-05-01,
KAMLOOPS VALLEYVIEW,50.68,-120.25,347 m,,,1163875,,,1962-05-01,2005-09-01,
KAMOURASKA,47.58,-69.85,9 m,,,7053380,,,1973-07-01,1984-09-01,
KAMSACK,51.57,-101.9,440 m,,,4013640,,,1907-08-01,1969-12-01,
KANANASKIS,51.03,-115.03,1391 m,,,3053600,,,1939-08-01,2021-03-01,
KANANASKIS BOUNDARY RS,50.98,-115.12,1463 m,,,3053602,,,1962-04-01,1986-09-01,
KANANASKIS LO,50.62,-115.07,2073 m,,,3053605,,,1958-07-01,2011-08-01,
KANANASKIS POCATERRA,50.71,-115.12,1610 m,,,3053604,,,1976-10-01,2018-07-01,
KANGIQSUALUJJUAQ A (Kangiqsualujjuaq Airport),58.71,-65.99,66 m,YLU,,7113390,2015-10-01,+,,,Kangiqsualujjuaq
KANGIQSUALUJJUAQ A (Kangiqsualujjuaq Airport),58.71,-65.99,66 m,YLU,,7113391,2018-10-30,+,2018-10-01,+,Kangiqsualujjuaq
KANGIQSUALUJJUAQ A (Kangiqsualujjuaq Airport),58.71,-65.99,66 m,YLU,,711L380,1992-11-16,2015-09-10,,,Kangiqsualujjuaq
KANGIQSUJUAQ,61.58,-71.91,145 m,MQK,,7113385,,,,,
KANGIQSUJUAQ A (Kangiqsujuaq Airport),61.59,-71.93,158 m,YKG,,7113381,1992-10-11,2015-10-08,,,Kangiqsujuaq
,,,,,,,,,,,Lac Raglan
KANGIQSUJUAQ A (Kangiqsujuaq Airport),61.59,-71.93,158 m,YKG,,7113379,2015-10-08,+,,,Kangiqsujuaq
,,,,,,,,,,,Lac Raglan
KANGIQSUJUAQ A (Kangiqsujuaq Airport),61.59,-71.93,158 m,YKG,,7113380,2018-10-30,+,2018-10-01,+,Kangiqsujuaq
,,,,,,,,,,,Lac Raglan
KANGIRSUK A (Kangirsuk Airport),60.03,-70,124 m,YAS,,7113383,2015-09-29,+,,,Kangirsuk
KANGIRSUK A (Kangirsuk Airport),60.03,-70,124 m,YAS,,7113384,2018-10-30,+,2018-10-01,+,Kangirsuk
KANGIRSUK A (Kangirsuk Airport),60.02,-70,124 m,YAS,,7113382,1992-10-21,2015-09-10,,,Kangirsuk
KANGOK FIORD,68.65,-69.13,914 m,,,240KFNP,,,,,
KAPUSKASING A,49.41,-82.47,227 m,,,6073975,1953-01-01,2014-09-04,1937-04-01,2014-09-01,Kapuskasing
KAPUSKASING A (Kapuskasing Airport),49.41,-82.47,227 m,YYU,71831,6073976,2014-09-02,+,2014-09-01,+,Kapuskasing
KAPUSKASING A (Kapuskasing Airport),49.41,-82.47,227 m,YYU,,6073978,2016-01-13,+,2018-10-01,+,Kapuskasing
KAPUSKASING CDA,49.4,-82.43,218 m,,,6073960,,,1918-01-01,2001-12-01,Kapuskasing
KAPUSKASING CDA ON,49.41,-82.44,218 m,XKA,71299,6073980,2000-08-07,+,2000-08-01,+,Kapuskasing
KASHABOWIE,48.6,-90.6,467 m,,,6044000,,,1956-10-01,1958-02-01,
KASLO,49.91,-116.92,600 m,,,1143900,,,1894-07-01,2018-09-01,
KATATOTA ISLAND (AUT),49.71,-88.33,261 m,WKK,71468,604M002,1994-03-21,2006-01-23,1996-09-01,2006-01-01,
KATRIME EXP ST,50.08,-98.68,270 m,,,5041400,,,1951-01-01,1960-12-01,
KATRINE,45.58,-79.35,300 m,,,6114005,,,1949-04-01,1949-10-01,
KATRINE DOE LAKE,45.53,-79.4,305 m,,,6114006,,,1977-12-01,1995-10-01,
KAWENE,48.73,-91.2,454 m,,,6024010,,,1935-09-01,1951-01-01,
KAYBOB 3,54.11,-116.63,1003 m,,,3063620,,,1973-10-01,2011-04-01,
KEANE LO,58.32,-110.28,457 m,,,3063630,,,1961-06-01,2004-07-01,
KEATS POINT,69.67,-121.67,330 m,WKP,71058,2202663,1998-07-28,+,2001-01-01,2021-03-01,
KEBLE,45.7,-63.18,31 m,,,8202580,,,1980-06-01,1980-11-01,
KEDGWICK,47.65,-67.35,274 m,,,8102300,,,1931-06-01,1994-09-01,
KEELEY LAKE,54.87,-108.17,457 m,,,4063650,,,1996-10-01,1997-04-01,
KEG LO,57.65,-118.35,950 m,,,3073642,,,1960-04-01,2011-08-01,
KEG RIVER,57.8,-117.87,427 m,,,3073640,,,1935-07-01,1980-04-01,
KEG RIVER AGCM,57.79,-117.68,408 m,PKG,,3073644,2013-10-28,+,2018-05-01,2021-03-01,
KEG RIVER LARSEN,57.73,-117.01,402 m,,,3073643,,,2003-05-01,2006-07-01,
KEG RIVER RS,57.75,-117.62,405 m,,,3073641,,,1965-05-01,2009-01-01,
KEITH BAY,68.4,-88.22,81 m,,,2402665,,,1959-01-01,1963-07-01,
KEITHLEY CREEK,52.75,-121.4,808 m,,,1093920,,,1962-01-01,1962-05-01,
KEJIMKUJIK 1 (Kejimkujik Park),44.4,-65.2,125 m,WKG,71599,8202592,1994-02-01,+,1993-04-01,+,Kejimkujik (National Park)
KEJIMKUJIK PARK,44.43,-65.2,127 m,,,8202590,,,1966-02-01,1994-10-01,Kejimkujik (National Park)
KELFIELD,52,-108.58,685 m,,,4043653,,,1973-06-01,1990-03-01,
KELLIGREWS,47.5,-53.02,3 m,,,8402478,1987-06-22,1989-05-17,,,
KELLIHER,51.26,-103.75,676 m,,,4013660,,,1951-11-01,2021-03-01,
KELOWNA,49.9,-119.47,354 m,,,1123930,,,1899-03-01,1962-09-01,
KELOWNA (Kelowna Airport),49.96,-119.38,433 m,YLW,71203,1123939,2009-08-27,+,2009-09-01,+,Kelowna
KELOWNA A (Kelowna Airport),49.96,-119.38,430 m,YLW,71203,1123970,1959-03-23,2005-01-21,1968-10-01,2005-09-01,Kelowna
KELOWNA AWOS,49.96,-119.38,430 m,VLW,,1123965,2004-04-07,2009-08-27,2005-01-01,2010-02-01,Kelowna
KELOWNA BANKHEAD,49.9,-119.3,,,,1123972,,,1914-03-01,1931-06-01,
KELOWNA BOWES STREET,49.88,-119.47,351 m,,,1123975,,,1961-08-01,1969-11-01,
KELOWNA BYLANDS,49.87,-119.58,480 m,,,1123977,,,1994-05-01,1995-10-01,
KELOWNA CDA,49.87,-119.42,485 m,,,1123980,,,1950-01-01,1970-04-01,
KELOWNA CEDARCREEK,49.79,-119.54,375 m,,,1123981,,,1994-05-01,2008-11-01,
KELOWNA DAV-SPIERS ROAD,49.85,-119.45,375 m,,,1123982,,,1978-06-01,2004-09-01,
KELOWNA EAST,49.86,-119.4,491 m,,,1123984,,,1980-08-01,2000-11-01,
KELOWNA LAKEVIEW,49.86,-119.55,525 m,,,1123990,,,1952-05-01,2000-01-01,
KELOWNA MWS0,49.95,-119.4,456 m,,,11239R0,,,1994-01-01,2017-06-01,Kelowna
KELOWNA N GLENMORE,49.93,-119.43,451 m,,,112C991,,,1984-12-01,1986-09-01,
KELOWNA PC BURNETTS NURSERY,49.87,-119.48,350 m,,,1123992,,,1969-01-01,2003-04-01,
KELOWNA QUAILS GATE,49.84,-119.57,417 m,,,1123993,,,1995-06-01,2014-04-01,
KELOWNA UBCO,49.94,-119.4,456 m,VKU,71644,1123996,2012-12-13,+,2013-12-01,2021-03-01,
KELP REEFS,48.55,-123.24,,WZO,,1013998,1997-03-14,+,2018-05-01,2021-03-01,
KELSEY BAY,50.38,-125.95,5 m,,,1024005,,,1954-08-01,1956-02-01,
KELSEY DAM CS,56.04,-96.51,183 m,ZKD,71572,5061422,2000-02-18,+,2000-01-01,2021-03-01,
KELSEY HYDRO,56.03,-96.53,183 m,,,5061423,,,1983-12-01,1995-11-01,
KELVINGTON,52.15,-103.55,559 m,,,4083720,,,1953-07-01,1967-07-01,
KELVINGTON EXP ST,52.17,-103.52,594 m,,,4083736,,,1951-05-01,1959-06-01,
KELWOOD,50.62,-99.47,352 m,,,5041425,,,1959-04-01,1993-08-01,
KEMANO,53.56,-127.94,66 m,,,1064020,,,1951-08-01,2021-03-01,
KEMANO KILDALA PASS,53.72,-128.1,1609 m,,,1084050,,,1952-12-01,1959-05-01,
KEMPTVILLE,45,-75.63,99 m,,,6104025,,,1928-11-01,1997-10-01,Kemptville
,,,,,,,,,,,Sharbot Lake
,,,,,,,,,,,Smiths Falls
,,,,,,,,,,,Winchester
KEMPTVILLE,44.08,-65.77,76 m,,,8202700,,,1950-02-01,1991-09-01,
KEMPTVILLE 2,44.08,-65.78,61 m,,,8202701,,,1956-05-01,1956-08-01,
KEMPTVILLE CS (Kemptville),45,-75.63,99 m,XKE,71300,6104027,2001-02-13,+,1997-11-01,+,Kemptville
,,,,,,,,,,,Sharbot Lake
,,,,,,,,,,,Smiths Falls
,,,,,,,,,,,Winchester
KENASTON,51.5,-106.27,616 m,,,4013740,,,1984-06-01,1991-05-01,
KENNEDY LAKE,49.13,-125.63,11 m,,,1034070,,,1924-01-01,1936-05-01,
KENO HILL,63.93,-135.2,1473 m,,,2100677,,,1974-04-01,1982-02-01,
KENOGAMI,48.42,-71.25,116 m,,,7063400,,,1916-06-01,1972-07-01,
KENOGAMI DAM,49.92,-86.47,312 m,,,6044050,,,1950-06-01,1958-09-01,
KENORA,49.8,-94.53,336 m,,,6034070,,,1883-02-01,1939-03-01,
KENORA A (Kenora Airport),49.79,-94.37,410 m,YQK,71850,6034075,1953-01-01,2013-02-14,1938-08-01,2013-02-01,Kenora
,,,,,,,,,,,Sioux Narrows
KENORA A (Kenora Airport),49.79,-94.36,410 m,YQK,71850,6034076,2013-02-13,+,2013-01-01,+,Kenora
,,,,,,,,,,,Sioux Narrows
KENORA RCS,49.79,-94.38,413 m,TKR,71151,6034073,2008-07-21,+,2008-07-01,+,Kenora
,,,,,,,,,,,Sioux Narrows
KENORA TCPL 49,49.78,-94.48,340 m,,,6034077,,,1969-12-01,1991-04-01,
KENSINGTON PRAIRIE,49.07,-122.78,27 m,,,1104080,,,1953-04-01,1978-07-01,
KENTON,49.98,-100.58,449 m,,,5011434,,,1987-07-01,2006-12-01,
KENTVALE,46.22,-84.07,205 m,,,6054078,,,1988-06-01,1988-06-01,
KENTVILLE CDA,45.07,-64.48,49 m,,,8202800,,,1913-04-01,1996-06-01,Kentville
,,,,,,,,,,,Windsor
KENTVILLE CDA CS (Kentville AAFC),45.07,-64.48,49 m,XKT,71671,8202810,1999-01-12,+,1996-07-01,+,Kentville
,,,,,,,,,,,Windsor
KENVILLE EXP ST,52,-101.32,387 m,,,5041440,,,1951-01-01,1960-05-01,
KEOMA,51.24,-113.64,948 m,,,303C642,,,1985-07-01,2006-08-01,
KEOMA AGCM,51.19,-113.63,945 m,PKO,,3033620,2012-11-18,+,2018-05-01,2021-03-01,
KEREMEOS,49.2,-119.82,415 m,,,1124110,,,1891-01-01,1995-05-01,
KEREMEOS 2,49.21,-119.82,435 m,,,1124112,,,1924-01-01,2000-08-01,
KEREMEOS WEST,49.22,-119.83,416 m,,,1124118,,,1962-08-01,1966-06-01,
KERGWENAN,50.95,-99.53,280 m,,,5041450,,,1982-07-01,1986-03-01,
KERROBERT,51.97,-109.05,666 m,,,4043750,,,1964-08-01,2008-12-01,
KERSLEY,52.82,-122.37,671 m,,,1094125,,,1962-09-01,1992-08-01,
KERSLEY 2,52.81,-122.41,570 m,,,1094127,,,1985-07-01,2010-08-01,
KESSLER,52.28,-111.02,716 m,,,3013643,,,1965-05-01,1966-07-01,
KESSLER AGCM,52.29,-111.11,720 m,PKA,71796,3013644,2008-01-10,+,2007-09-01,2021-03-01,
KESWICK,44.22,-79.43,229 m,,,6114089,,,1970-03-01,1977-06-01,
KESWICK RIDGE,46,-66.88,122 m,,,8102308,,,1964-06-01,1968-01-01,
KESWICK RIDGE MACTAQUAC,45.97,-66.87,8 m,,,8102312,,,1965-06-01,1978-08-01,
KETCHUM CREEK,49.27,-111.55,701 m,,,304CFDC,,,1969-12-01,1970-08-01,
KETTLE GS,56.38,-94.65,145 m,,,5061460,,,1966-10-01,1973-10-01,
KETTLE VALLEY BCFS,49.07,-118.93,595 m,,,1134130,,,1972-06-01,1980-09-01,
KETZA RIVER MINE,61.52,-132.27,1380 m,,,2100FPP,,,1985-11-01,1995-09-01,
KEY LAKE,57.25,-105.6,514 m,PLS,71033,4063753,2011-06-22,+,2011-09-01,2021-03-01,
KEY LAKE,57.25,-105.62,509 m,,,4063755,,,1976-10-01,2018-09-01,
KEY LAKE (Key Lake Airport),57.26,-105.62,514 m,YKJ,71499,4063757,2010-07-26,+,2010-07-01,+,Key Lake
KEY LAKE A,57.25,-105.6,514 m,,,4063759,1994-02-01,2010-08-20,1993-10-01,2010-07-01,
KEYSTONE LO,51.37,-114.78,1585 m,,,302L643,,,1975-07-01,1992-06-01,
KHEDIVE,49.6,-104.5,651 m,,,4013770,,,1961-06-01,1969-07-01,
KIDD CREEK MINE,48.68,-81.37,277 m,,,6074100,,,1968-05-01,1979-09-01,
KILDALA,53.83,-128.48,31 m,,,1064138,,,1966-05-01,2000-08-01,
KILDONAN,49,-125,3 m,,,1034170,,,1937-01-01,1976-05-01,
KILDONAN FATTY BASIN,48.98,-125.02,5 m,,,1034175,,,1967-06-01,1971-11-01,
KILLALA LAKE,49.15,-86.47,290 m,,,6044115,,,1945-05-01,1954-09-01,
KILLALOE,45.57,-77.42,174 m,,,6104125,1953-01-01,1972-12-06,1938-09-01,1972-12-01,
KILLALOE O'GRADY,45.5,-77.48,396 m,,,61041BE,,,1977-12-01,1979-08-01,
KILLALOE STATION,45.48,-77.5,396 m,,,6104JK5,,,1982-09-01,1984-04-01,
KILLAM AGDM,52.85,-111.87,675 m,XKM,71228,3013640,2002-12-09,+,2002-12-01,2021-03-01,
KILLARNEY,49.18,-99.65,496 m,,,5021480,,,1969-11-01,2008-01-01,
KILLARNEY (AUT) (Killarney),45.97,-81.48,196 m,WBE,71460,605DJ25,1994-02-01,+,1992-12-01,+,Killarney
KILLINEK,60.42,-64.85,9 m,,,2402667,1975-09-05,1985-08-24,1975-09-01,1985-08-01,
KILLINEK (AUT),60.42,-64.85,32 m,,,2402F67,1985-08-22,1986-12-31,,,
KILMAHUMAIG,46.83,-64.05,6 m,,,8300441,,,1878-07-01,1893-12-01,
KIMBERLEY,44.38,-80.53,236 m,,,6114126,,,1968-03-01,1968-05-01,
KIMBERLEY,49.68,-115.98,1177 m,,,1154195,,,1960-07-01,1974-09-01,
KIMBERLEY A,49.73,-115.78,914 m,,,1154200,1953-01-01,1969-04-09,1943-02-01,1976-01-01,
KIMBERLEY CHAPMAN CAMP,49.68,-115.98,1097 m,,,1154201,,,1974-10-01,1976-04-01,
KIMBERLEY COMINCO,49.67,-115.96,1100 m,,,1154202,,,1992-09-01,2002-04-01,
KIMBERLEY MEADOWBROOK,49.7,-115.9,1064 m,,,115D202,,,1984-02-01,1986-06-01,
KIMBERLEY PCC,49.63,-115.96,889 m,,,1154203,,,1975-06-01,2021-03-01,
KIMIWAN LO,56,-116.6,770 m,,,3073F4M,,,1976-05-01,2011-09-01,
KIMMIRUT A (Kimmirut Airport),62.85,-69.88,52 m,YLC,,2402673,2015-02-12,+,2018-10-01,+,Kimmirut
KIMMIRUT A (Kimmirut Airport),62.85,-69.88,52 m,YLC,,240KFQJ,1987-12-01,2015-02-12,1994-09-01,2004-08-01,Kimmirut
KIMMIRUT A (Kimmirut Airport),62.85,-69.88,52 m,YLC,,2402671,2015-02-12,+,,,Kimmirut
KINASKAN LAKE,57.53,-130.2,815 m,,,1204215,,,1966-10-01,1977-10-01,
KINCAID,49.67,-107,739 m,,,4023800,,,1951-06-01,2000-09-01,
KINCARDINE,44.17,-81.62,200 m,,,6124127,,,1870-05-01,2021-03-01,
KINCARDINE A,44.2,-81.6,234 m,,,6124128,,,1994-08-01,1997-02-01,
KINDAKUN ROCKS (AUT),53.32,-132.77,15 m,WQS,71472,1054222,1994-02-01,+,1994-12-01,2021-03-01,
KINDERSLEY,51.47,-109.15,681 m,,,4043888,,,1910-07-01,1971-12-01,
KINDERSLEY A (Kindersley Airport),51.52,-109.18,694 m,YKY,,4043899,2016-01-13,+,2018-10-01,+,Kindersley
KINDERSLEY A (Kindersley Airport),51.52,-109.18,694 m,YKY,71129,4043901,2013-11-12,+,2013-11-01,+,Kindersley
KINDERSLEY A (Kindersley Airport),51.52,-109.18,694 m,YKY,71129,4043900,1984-08-23,2013-11-14,1984-09-01,2013-11-01,Kindersley
KINDERSLEY CDA EPF,51.5,-109.17,681 m,,,4043904,,,1951-06-01,1975-10-01,
KINDERSLEY KY,51.47,-109.17,683 m,,,4043920,1958-07-01,1984-08-31,1958-07-01,1984-08-01,
KING CITY,43.97,-79.52,291 m,,,6154130,,,1958-12-01,1959-06-01,
KING CITY 2,43.93,-79.52,305 m,,,6154131,,,1979-07-01,1981-10-01,
KING CITY NORTH (King City North),43.96,-79.57,361 m,OKN,73074,6154150,2019-09-17,+,2019-09-01,+,Newmarket
KING CREEK,43.9,-79.62,236 m,,,6154135,,,1959-03-01,1978-04-01,
KING POINT (AUT),69.08,-138.02,61 m,,,2100678,1985-10-28,1986-12-31,,,
KING SMOKE TREE,44.02,-79.52,352 m,,,6154142,,,1974-11-01,2003-12-01,
KINGCOME INLET,50.95,-126.2,2 m,,,1064227,,,1974-09-01,1985-10-01,
KINGFISHER LAKE,48.65,-89.07,488 m,,,6044138,,,1975-01-01,1977-06-01,
KINGS LANDING,45.85,-66.95,67 m,,,8102314,,,1975-12-01,1978-10-01,
KINGSBORO,46.39,-62.1,18 m,,,8300442,,,2000-11-01,2007-11-01,
KINGSBORO SNOW,46.41,-62.08,18 m,,,8300452,,,2011-11-01,2016-04-01,
KINGSEY,45.83,-72,130 m,,,7023460,,,1957-06-01,1974-08-01,
KINGSGATE,49,-116.18,820 m,,,1144230,,,1924-01-01,1962-04-01,
KINGSLEY IHD,46.07,-66.73,165 m,,,8102316,,,1973-02-01,1981-10-01,
KINGSMERE,54.13,-106.45,,,,4063940,,,1959-06-01,1964-09-01,
KINGSTON,44.25,-76.5,104 m,,,6104145,,,1947-02-01,1949-11-01,
KINGSTON (AUT),44.22,-76.6,93 m,,,6104ADF,1994-07-08,1994-07-28,,,
KINGSTON A (Kingston Airport),44.22,-76.6,92 m,YGK,,6104146,1967-05-08,2012-07-12,1930-10-01,1996-09-01,Greater Napanee
,,,,,,,,,,,Kingston
,,,,,,,,,,,Sydenham
,,,,,,,,,,,Westport
KINGSTON A (Kingston Airport),44.23,-76.6,92 m,YGK,,6104152,2014-10-23,+,2018-10-01,+,Greater Napanee
,,,,,,,,,,,Kingston
,,,,,,,,,,,Sydenham
,,,,,,,,,,,Westport
KINGSTON A (Kingston Airport),44.23,-76.6,92 m,YGK,,6104149,2012-07-09,+,,,Greater Napanee
,,,,,,,,,,,Kingston
,,,,,,,,,,,Sydenham
,,,,,,,,,,,Westport
KINGSTON BEVERLEY ST,44.22,-76.5,84 m,,,6104147,,,1960-03-01,1966-05-01,
KINGSTON CLIMATE,44.22,-76.6,93 m,TKG,71820,6104142,2008-07-15,+,2008-07-01,+,Greater Napanee
,,,,,,,,,,,Kingston
,,,,,,,,,,,Sydenham
,,,,,,,,,,,Westport
KINGSTON MARINE,44.23,-76.45,107 m,,,6104153,,,1939-04-01,1967-10-01,
KINGSTON N & C GAS,44.23,-76.57,91 m,,,6104160,,,1965-02-01,1977-05-01,
KINGSTON ONT HYDRO,44.27,-76.5,91 m,,,6104165,,,1945-10-01,1971-08-01,
KINGSTON PUMPING STATION,44.24,-76.48,77 m,,,6104175,,,1960-08-01,2007-11-01,
KINGSTON QUEENS U,44.25,-76.5,104 m,,,6104185,,,1872-02-01,1957-03-01,
KINGSVILLE MOE,42.04,-82.67,200 m,,,6134190,,,1960-10-01,2021-03-01,
KINIKINIK,54.56,-112.98,629 m,PKK,,3063640,2015-08-11,+,2018-05-01,2021-03-01,
KINISTINO,52.95,-105.02,463 m,,,4053960,,,1911-10-01,1961-11-01,
KINMOUNT,44.75,-78.63,280 m,,,6164198,,,1897-10-01,1950-06-01,
KINNEARS MILLS,46.2,-71.38,366 m,,,7023465,,,1965-04-01,1982-03-01,
KINNGAIT,64.23,-76.53,50 m,NCD,71575,2400636,2005-04-21,+,2005-03-01,2021-03-01,
KINOOSAO,57.08,-102.02,351 m,,,4063980,,,1962-01-01,1978-09-01,
KINSELLA RANCH,53,-111.52,705 m,,,3013645,,,1962-02-01,2003-09-01,
KINSELLA RESEARC STATION,53.05,-111.55,701 m,PKR,,3013647,2010-10-15,+,2018-05-01,2021-03-01,
KINUSO RS,55.33,-115.42,590 m,,,3063646,,,1927-01-01,1996-08-01,
KIPAWA LANIEL,47.05,-79.27,280 m,,,7083480,,,1920-04-01,2001-10-01,
KIPLING,50.2,-102.73,671 m,,,4014040,,,1949-05-01,2021-03-01,
KIPLING SOUTH 21,49.92,-102.67,747 m,,,40140D3,,,1991-10-01,1992-06-01,
KIRKFIELD,44.57,-78.98,274 m,,,6164207,,,1978-06-01,1980-07-01,
KIRKLAND LAKE,48.15,-80,324 m,,,6074209,,,1950-02-01,1996-12-01,
KIRKLAND LAKE CS (Kirkland Lake),48.15,-80,324 m,XKI,71301,6074211,2001-12-05,+,1997-06-01,+,Kirkland Lake
KIRRIEMUIR AGCM,51.91,-110.36,711 m,PZK,,3023660,2013-06-25,+,2018-05-01,2021-03-01,
KIRTON,49.67,-119.95,884 m,,,1124260,,,1928-09-01,1962-04-01,
KISBEY,49.55,-102.63,610 m,,,4014050,,,1959-09-01,1977-05-01,
KISKA LO,52.3,-116.18,2073 m,,,3053649,,,1966-05-01,1984-08-01,
KISPIOX,55.47,-127.77,305 m,,,1074276,,,1976-10-01,1980-10-01,
KITCHENER,43.43,-80.5,343 m,,,6144232,,,1914-10-01,1977-12-01,
KITCHENER CITY ENG 1,43.45,-80.48,320 m,,,6144240,,,1954-09-01,1961-09-01,
KITCHENER CITY ENG 2,43.45,-80.48,320 m,,,6144241,,,1961-07-01,1961-09-01,
KITCHENER OWRC,43.4,-80.43,282 m,,,6144245,,,1962-06-01,1975-06-01,
KITCHENER/WATERLOO (Region of Waterloo Int'l Airport),43.46,-80.38,322 m,YKF,71368,6144239,2010-04-06,+,2010-04-01,+,Cambridge
,,,,,,,,,,,Kitchener-Waterloo
KITIMAT,54.05,-128.68,13 m,WKI,,1064288,1994-02-01,1994-05-20,1979-11-01,1994-04-01,
KITIMAT,54,-128.7,17 m,,,1064289,,,1951-06-01,1966-07-01,
KITIMAT 2,54.01,-128.71,17 m,,,1064321,,,1966-02-01,2021-03-01,
KITIMAT 3,54.06,-128.64,137 m,,,1064322,,,1988-09-01,2013-01-01,
KITIMAT FOREST AVE (Kitimat Forest Ave),54.05,-128.63,98 m,VKC,73007,1064324,2020-03-14,+,2020-03-01,+,Kitimat
KITIMAT HATCHERY,54.04,-128.68,11 m,,,106D289,,,1995-05-01,2021-03-01,
KITIMAT MISSION,53.98,-128.65,6 m,,,1064290,,,1902-10-01,1948-05-01,
KITIMAT TOWNSITE,54.05,-128.63,98 m,,,1064320,,,1954-01-01,2021-03-01,
KITSAULT MILLSITE,55.42,-128.42,533 m,,,1074328,,,1967-02-01,1967-10-01,
KITSAULT MINESITE,55.43,-129.47,621 m,,,1064329,,,1968-01-01,1969-10-01,
