,Station,Station ID,Province,Index_col,Monthly Range,Daily Range
5097,SHEPHERD BAY A,1723,NU,207,1957-01-01|2006-07-01,1957-04-01|2021-02-25
5098,SIMPSON LAKE,1724,NU,208,1959-01-01|1963-12-01,1959-01-01|1963-07-31
5099,SIMPSON LAKE,10833,NU,209,|,1993-01-24|1993-03-18
5100,SKULL POINT (AUT),7357,NU,210,|,|
5101,SPENCE BAY,1781,NU,211,1951-01-01|1976-12-01,1951-10-01|1976-09-30
5102,STEFANSSON ISLAND,32148,NU,212,2002-09-01|2007-08-01,2002-08-01|2021-02-25
5103,STRATHCONA SOUND,1782,NU,213,1975-01-01|1975-12-01,1975-01-01|1975-05-31
5104,STURT POINT,1725,NU,214,1959-01-01|1963-12-01,1959-01-01|1963-07-31
5105,STURT POINT NORTH,10832,NU,215,|,1993-01-26|1993-03-18
5106,SVARTEVAEG,50659,NU,216,|,2012-07-16|2021-02-25
5107,TALOYOAK A,1783,NU,217,1984-01-01|2015-01-01,1984-09-01|2015-01-15
5108,TALOYOAK A,53340,NU,218,2015-01-01|2015-01-01,2015-01-01|2021-02-25
5109,TALOYOAK A,54219,NU,219,|,2018-10-29|2021-02-25
5110,WAGER BAY (AUT),31167,NU,220,2001-09-01|2006-11-01,2001-01-01|2021-02-25
5111,WEST BAFFIN ISLAND,1784,NU,221,1959-01-01|1963-12-01,1959-01-01|1963-07-31
5112,WHALE COVE,1726,NU,222,1974-01-01|1984-12-01,1974-02-01|1984-09-30
5113,WHALE COVE A,51443,NU,223,|,|
5114,WHALE COVE A,52984,NU,224,|,2018-10-29|2021-02-25
5115,WHALE COVE A,1727,NU,225,1985-01-01|2007-11-01,1985-03-01|2014-11-30
5116,YANKEE (AUT),7359,NU,226,|,|
5117,YATHKYED LAKE (AUT),10803,NU,227,1998-05-01|2004-06-01,1993-02-04|2004-08-31
5118,ABITIBI CAMP 11,3980,ON,0,1978-01-01|1981-12-01,1978-06-01|1983-12-31
5119,ABITIBI CAMP 11,3981,ON,1,1983-01-01|1988-12-01,1983-11-01|1988-04-30
5120,ABITIBI CAMP 228,3982,ON,2,1969-01-01|1978-12-01,1969-12-01|1978-06-30
5121,ABITIBI CAMP 230,3983,ON,3,1969-01-01|1991-11-01,1969-11-01|1991-01-31
5122,ABITIBI CAMP 300,3984,ON,4,1978-01-01|1986-12-01,1978-02-01|1986-12-31
5123,ABITIBI CANYON,4141,ON,5,1931-01-01|1963-12-01,1931-02-01|1963-10-31
5124,ACTON BEARDMORE,4849,ON,6,1966-01-01|1967-12-01,1966-05-01|1967-10-31
5125,ACTON MONITOR STN,4728,ON,7,1966-01-01|1971-12-01,1966-07-01|1971-10-31
5126,AGNEW MINE,4105,ON,8,1978-01-01|1983-12-01,1978-07-01|1983-11-30
5127,AGUASABON,3985,ON,9,1950-01-01|1972-12-01,1950-06-01|1972-05-31
5128,AILSA CRAIG,4729,ON,10,1968-01-01|1972-12-01,1968-04-01|1972-02-29
5129,ALBERTON,26775,ON,11,1994-01-01|2006-12-01,1994-06-01|2008-12-27
5130,ALBION,4850,ON,12,1956-01-01|2000-12-01,1956-05-01|2000-12-31
5131,ALBION FIELD CENTRE,4851,ON,13,1969-01-01|2001-03-01,1969-05-01|2001-03-31
5132,ALDERSHOT,4852,ON,14,1947-01-01|1977-12-01,1947-02-01|1977-02-28
5133,ALEXANDRIA,42003,ON,15,|,2003-10-01|2006-05-24
5134,ALFRED,4219,ON,16,1984-01-01|1985-12-01,1984-09-01|1986-03-31
5135,ALFRED,42006,ON,17,|,2003-10-07|2007-06-14
5136,ALFRED AUTOMATIC CLIMATE STATION,4220,ON,18,1989-01-01|1989-12-01,1989-01-01|1989-10-31
5137,ALGONQUIN PARK,4187,ON,19,1917-01-01|1960-12-01,1917-07-01|1960-08-31
5138,ALGONQUIN PARK EAST,4188,ON,20,1961-01-01|1972-12-01,1961-05-01|1972-11-30
5139,ALGONQUIN PARK EAST GATE,42967,ON,21,2005-05-01|2006-12-01,2004-09-02|2021-02-25
5140,ALGONQUIN PARK WEST,4189,ON,22,1961-01-01|1972-12-01,1961-05-01|1972-11-30
5141,ALLAN PARK,4400,ON,23,1975-01-01|1976-12-01,1975-08-01|1976-11-30
5142,ALLISTON,4401,ON,24,1953-01-01|1975-12-01,1953-03-01|1975-01-31
5143,ALLISTON NELSON,4402,ON,25,1973-01-01|2006-12-01,1973-07-01|2008-01-31
5144,ALLOA,4853,ON,26,1951-01-01|1954-12-01,1951-02-01|1954-11-30
5145,ALMONTE,4221,ON,27,1912-01-01|1980-12-01,1912-02-01|1980-02-29
5146,ALTON,4854,ON,28,1887-01-01|1963-12-01,1887-01-01|1964-01-31
5147,ALVINSTON,4541,ON,29,1965-01-01|1969-12-01,1965-06-01|1969-12-31
5148,AMHERSTBURG,4607,ON,30,1988-01-01|2006-12-01,1988-07-01|2021-02-25
5149,ANGUS,4403,ON,31,1930-01-01|1965-12-01,1930-02-01|1965-02-28
5150,ANGUS CAMPHILL,27001,ON,32,1994-01-01|1997-11-01,1994-09-01|1997-11-30
5151,APPLE HILL,4222,ON,33,1950-01-01|1961-12-01,1950-11-01|1961-11-30
5152,APPLETON,6901,ON,34,1992-01-01|2006-12-01,1992-03-01|2021-02-25
5153,APPS MILL,4730,ON,35,1972-01-01|1972-12-01,1972-10-01|1972-11-30
5154,APSLEY,5152,ON,36,1922-01-01|1957-12-01,1922-03-01|1957-03-31
5155,ARDEN,4223,ON,37,1895-01-01|1911-12-01,1895-08-01|1911-01-31
5156,ARKONA,4542,ON,38,1882-01-01|1915-12-01,1882-07-01|1915-03-31
5157,ARMSTRONG,3986,ON,39,1926-01-01|1947-12-01,1926-05-01|1947-10-31
5158,ARMSTRONG (AUT),7581,ON,40,|,1994-10-31|1995-06-23
5159,ARMSTRONG (AUT),3987,ON,41,1938-01-01|1982-12-01,1938-08-01|2021-02-25
5160,ARMSTRONG A,52900,ON,42,|,2018-10-29|2021-02-25
5161,ARMSTRONG JELLIEN,3988,ON,43,1987-01-01|1992-12-01,1987-12-01|1992-10-31
5162,ARNPRIOR,4224,ON,44,1959-01-01|1963-12-01,1959-09-01|1964-01-31
5163,ARNPRIOR GRANDON,4225,ON,45,1959-01-01|1999-09-01,1959-10-01|1999-09-30
5164,ARTHUR,4731,ON,46,1964-01-01|1987-12-01,1964-01-01|1988-01-31
5165,ASHTON,4226,ON,47,1956-01-01|1956-12-01,1956-08-01|1956-09-30
5166,ASHTON STN SESIA FARM,4227,ON,48,1959-01-01|1973-12-01,1959-08-01|1973-12-31
5167,ATHENS,4228,ON,49,1969-01-01|1978-12-01,1969-06-01|1978-01-31
5168,ATIKOKAN,3929,ON,50,1966-01-01|1988-12-01,1966-07-01|1988-10-31
5169,ATIKOKAN (AUT),10220,ON,51,2005-02-01|2006-12-01,2000-12-13|2021-02-25
5170,ATIKOKAN CLI,3930,ON,52,1914-01-01|1971-12-01,1914-07-01|1971-06-30
5171,ATIKOKAN MARMION,3931,ON,53,1979-01-01|2006-12-01,1979-12-01|2007-07-30
5172,ATTAWAPISKAT,3913,ON,54,1968-01-01|1968-12-01,1968-09-01|1968-11-30
5173,ATTAWAPISKAT A,52918,ON,55,|,2015-01-08|2021-02-25
5174,AURORA,4855,ON,56,1883-01-01|1919-12-01,1883-04-01|1919-05-31
5175,AURORA MOE,4856,ON,57,1980-01-01|1984-12-01,1980-09-01|1984-04-30
5176,AURORA NE,41803,ON,58,2003-07-01|2006-12-01,2003-07-01|2009-11-27
5177,AURORA PAYMENT,4857,ON,59,1971-01-01|1975-12-01,1971-09-01|1975-07-31
5178,AVONMORE,4229,ON,60,1976-01-01|2006-06-01,1976-05-01|2006-06-30
5179,AYLMER,4608,ON,61,1948-01-01|1981-12-01,1948-05-01|1981-12-31
5180,AYLMER,27323,ON,62,1996-06-01|2004-02-01,1996-06-01|2004-02-29
5181,AYLMER 2,4609,ON,63,1958-01-01|1961-12-01,1958-05-01|1961-03-31
5182,AYLMER ONT HYDRO,4610,ON,64,1983-01-01|2000-08-01,1983-05-01|2000-08-31
5183,AYR,4732,ON,65,1956-01-01|1961-12-01,1956-05-01|1961-07-31
5184,AYTON,4404,ON,66,1988-01-01|1993-12-01,1988-05-01|1993-12-31
5185,BALA,4405,ON,67,1883-01-01|1907-12-01,1883-07-01|1907-12-31
5186,BALACLAVA,44967,ON,68,2006-05-01|2006-12-01,2006-05-01|2016-03-21
5187,BALDWIN,43540,ON,69,2004-12-01|2006-12-01,2004-12-01|2021-02-25
5188,BALLANTRAE,4858,ON,70,1979-01-01|1992-12-01,1979-07-01|1992-08-31
5189,BANCROFT,5153,ON,71,1882-01-01|1985-12-01,1882-10-01|1985-12-31
5190,BANCROFT AUTO,26799,ON,72,1997-07-01|2006-12-01,1995-06-20|2021-02-25
5191,BANCROFT L'AMABLE,5154,ON,73,1985-01-01|1986-12-01,1985-06-01|1986-11-30
5192,BANCROFT OMNR,5155,ON,74,1987-01-01|1990-12-01,1987-04-01|1990-10-31
5193,BAR RIVER,4063,ON,75,1988-01-01|1992-12-01,1988-06-01|1992-10-31
5194,BARCLAY,3951,ON,76,1885-01-01|1896-12-01,1885-05-01|1896-11-30
5195,BARK LAKE DAM,4230,ON,77,1950-01-01|1971-12-01,1950-01-01|1971-10-31
5196,BARRETT CHUTE,4231,ON,78,1950-01-01|1968-12-01,1950-05-01|1968-10-31
5197,BARRIE,4406,ON,79,1866-01-01|1958-12-01,1866-01-01|1958-06-30
5198,BARRIE (AUT),7697,ON,80,|,1992-12-02|2003-12-19
5199,BARRIE CKVR,4407,ON,81,1960-01-01|1961-12-01,1960-03-01|1961-02-28
5200,BARRIE LANDFILL,50048,ON,82,|,2011-06-24|2021-02-25
5201,BARRIE WPCC,4408,ON,83,1968-01-01|2006-12-01,1968-05-01|2009-06-28
5202,BARRIE-ORO,42183,ON,84,2003-12-01|2006-12-01,2003-11-12|2021-02-25
5203,BARRY'S BAY,4232,ON,85,1976-01-01|1982-12-01,1976-10-01|1982-09-30
5204,BARWICK,3932,ON,86,1978-01-01|2006-12-01,1978-12-01|2021-02-25
5205,BATTLE ISLAND,26859,ON,87,|,|
5206,BEAR ISLAND,4190,ON,88,1916-01-01|1962-12-01,1916-05-01|1962-05-31
5207,BEARDMORE,3989,ON,89,1973-01-01|1986-12-01,1973-11-01|1986-10-31
5208,BEATRICE,4409,ON,90,1876-01-01|1979-12-01,1876-03-01|1979-02-28
5209,BEATRICE 2,4410,ON,91,1979-01-01|2006-12-01,1979-09-01|2008-09-29
5210,BEATRICE CLIMATE,44183,ON,92,2005-11-01|2006-12-01,2005-09-28|2021-02-25
5211,BEAUSOLEIL,10973,ON,93,2004-01-01|2006-12-01,1994-12-30|2007-08-28
5212,BEAVERTON,4411,ON,94,1948-01-01|1959-12-01,1948-03-01|1959-08-31
5213,BEETON,4412,ON,95,1916-01-01|1970-12-01,1916-11-01|1970-01-31
5214,BEETON ASSAGI,4413,ON,96,1975-01-01|1976-12-01,1975-03-01|1976-11-30
5215,BEETON GRAHAM,4414,ON,97,1971-01-01|1984-12-01,1971-09-01|1984-12-31
5216,BEETON WATSON,4415,ON,98,1968-01-01|1971-12-01,1968-04-01|1971-07-31
5217,BELGRAVE,4543,ON,99,1962-01-01|1964-12-01,1962-04-01|1964-12-31
5218,BELLE RIVER,10084,ON,100,|,1994-12-30|2005-03-07
5219,BELLEVILLE,4859,ON,101,1866-01-01|2006-12-01,1866-01-01|2021-02-18
5220,BELLEVILLE OWRC,4860,ON,102,1959-01-01|1975-12-01,1959-09-01|1975-08-31
5221,BELLEVILLE PAR LAB,4861,ON,103,1929-01-01|1959-12-01,1929-08-01|1959-06-30
5222,BELLROCK,4233,ON,104,1957-01-01|1978-12-01,1957-05-01|1978-08-31
5223,BELLS CORNERS,6952,ON,105,1991-01-01|1991-12-01,1991-05-01|1991-05-31
5224,BENNY,4106,ON,106,1948-01-01|1956-12-01,1948-11-01|1956-09-30
5225,BERGLAND,3933,ON,107,1980-01-01|1981-12-01,1980-01-01|1981-08-31
5226,BIG CHAUDIERE FALLS,4191,ON,108,1918-01-01|1933-12-01,1918-05-01|1933-04-30
5227,BIG CHUTE,4416,ON,109,1913-01-01|1972-12-01,1913-05-01|1972-01-31
5228,BIG THUNDER,26860,ON,110,|,|
5229,BIG TROUT LAKE,3914,ON,111,1939-01-01|1992-12-01,1939-02-01|1992-10-31
5230,BIG TROUT LAKE,50857,ON,112,|,2012-10-02|2021-02-25
5231,BIG TROUT LAKE A,49488,ON,113,|,2011-10-20|2021-02-25
5232,BIG TROUT LAKE READAC,10804,ON,114,|,1992-12-01|2013-12-12
5233,BINBROOK,4611,ON,115,1967-01-01|1970-12-01,1967-02-01|1970-03-31
5234,BINGHAM CHUTE,4417,ON,116,1933-01-01|1970-12-01,1933-02-01|1970-05-31
5235,BISCOTASING,4107,ON,117,1914-01-01|2000-10-01,1914-01-01|2000-10-31
5236,BLACK STURGEON LAKE,3990,ON,118,1951-01-01|1968-12-01,1951-05-01|1968-08-31
5237,BLACK STURGEON LAKE 2,3991,ON,119,1968-01-01|1971-12-01,1968-12-01|1971-08-31
5238,BLACK STURGEON RIVER,3992,ON,120,1958-01-01|1959-12-01,1957-10-01|1959-05-31
5239,BLACKSTOCK,31048,ON,121,2001-06-01|2006-12-01,2001-06-01|2016-08-09
5240,BLENHEIM,4544,ON,122,1883-01-01|1897-12-01,1883-04-01|1897-11-30
5241,BLENHEIM 1,44806,ON,123,2006-05-01|2006-12-01,2006-05-01|2009-12-29
5242,BLIND RIVER,4064,ON,124,1926-01-01|1959-12-01,1926-04-01|1959-10-31
5243,BLIND RIVER HYDRO CENTRE,4065,ON,125,1982-01-01|1989-12-01,1982-06-01|1989-11-30
5244,BLOOMFIELD,4862,ON,126,1896-01-01|2006-12-01,1896-04-01|2014-02-28
5245,BLOOMFIELD WEST,4863,ON,127,1966-01-01|1997-04-01,1966-07-01|1997-04-30
5246,BLUE ACTON,4848,ON,128,1974-01-01|1976-12-01,1974-05-01|1976-03-31
5247,BLUE CORWHIN,4727,ON,129,1974-01-01|1976-12-01,1974-05-01|1976-03-31
5248,BLUE ROCKWOOD,4725,ON,130,1974-01-01|1976-12-01,1974-06-01|1976-03-31
5249,BLUE SCOUT,4726,ON,131,1974-01-01|1976-12-01,1974-05-01|1976-03-31
5250,BLUE SPRINGS CREEK,4733,ON,132,1966-01-01|1980-12-01,1966-07-01|1980-07-31
5251,BLYTH,4545,ON,133,1959-01-01|2006-12-01,1959-02-01|2010-01-31
5252,BOBCAYGEON,5156,ON,134,1986-01-01|1993-12-01,1986-04-01|1993-01-31
5253,BOBCAYGEON,5157,ON,135,1981-01-01|1985-12-01,1981-06-01|1985-08-31
5254,BOGNOR,4418,ON,136,1883-01-01|1900-12-01,1883-04-01|1900-09-30
5255,BOLTON NORTH,27083,ON,137,1995-10-01|2001-09-01,1995-10-01|2001-09-30
5256,BOLTON SPS,4864,ON,138,1978-01-01|1992-12-01,1978-06-01|1992-02-29
5257,BONFIELD,4186,ON,139,1983-01-01|1992-12-01,1983-09-01|1992-02-29
5258,BONNER LAKE,4140,ON,140,1990-01-01|2006-12-01,1990-12-01|2021-02-25
5259,BORDEN,27197,ON,141,|,|
5260,BORDEN A,4419,ON,142,1966-01-01|1970-12-01,1966-09-01|1970-03-31
5261,BORDEN AWOS,29516,ON,143,|,2000-02-09|2021-02-25
5262,BORDEN STP,4399,ON,144,1985-01-01|1992-12-01,1985-12-01|1992-09-30
5263,BOURGET,4234,ON,145,1950-01-01|1951-12-01,1950-11-01|1951-05-31
5264,BOWMANVILLE,4865,ON,146,1947-01-01|1957-12-01,1947-08-01|1957-12-31
5265,BOWMANVILLE MOSTERT,4866,ON,147,1966-01-01|2002-03-01,1966-06-01|2002-03-31
5266,BRACEBRIDGE,4420,ON,148,1984-01-01|1989-12-01,1984-07-01|1989-02-28
5267,BRACEBRIDGE ONT HYDRO,4421,ON,149,1983-01-01|1987-12-01,1983-07-01|1987-01-31
5268,BRADFORD,4867,ON,150,1951-01-01|1957-12-01,1951-09-01|1957-06-30
5269,BRADFORD 2,4868,ON,151,1954-01-01|1958-12-01,1954-08-01|1958-02-28
5270,BRADFORD BROWN,4422,ON,152,1972-01-01|1976-12-01,1972-05-01|1976-04-30
5271,BRADFORD HIGH SCHOOL,4869,ON,153,1960-01-01|1962-12-01,1960-09-01|1962-04-30
5272,BRADFORD MUCK RESEARCH,4870,ON,154,1974-01-01|1998-11-01,1974-01-01|1998-11-30
5273,BRADFORD OAC,4871,ON,155,1960-01-01|1966-12-01,1960-05-01|1966-09-30
5274,BRADFORD ODA,4872,ON,156,1966-01-01|1967-12-01,1966-08-01|1968-01-31
5275,BRADFORD SPRINGDALE,4873,ON,157,1966-01-01|1981-12-01,1966-07-01|1982-05-31
5276,BRAMALEA,4874,ON,158,1967-01-01|1971-12-01,1967-09-01|1971-02-28
5277,BRAMPTON,4875,ON,159,1871-01-01|1964-12-01,1870-12-01|1964-12-31
5278,BRAMPTON AIRPORT,6953,ON,160,1991-01-01|1992-12-01,1991-08-01|1992-08-31
5279,BRAMPTON MOE,4876,ON,161,1963-01-01|1993-12-01,1962-07-01|1993-12-31
5280,BRANTFORD,4734,ON,162,1876-01-01|1963-12-01,1876-01-01|1963-06-30
5281,BRANTFORD AIRPORT,53378,ON,163,|,2014-12-12|2021-02-25
5282,BRANTFORD BRANT PARK,4735,ON,164,1972-01-01|1973-12-01,1972-11-01|1973-11-30
5283,BRANTFORD MOE,4737,ON,165,1960-01-01|2006-12-01,1960-06-01|2013-01-19
5284,BRANTFORD MORELL,4736,ON,166,1959-01-01|1964-12-01,1959-05-01|1964-10-31
5285,BRECHIN BEACH,4423,ON,167,1986-01-01|1994-12-01,1985-12-01|1994-11-30
5286,BRIGHTON,4878,ON,168,1948-01-01|1950-12-01,1948-05-01|1950-08-31
5287,BRITT (AUT),7704,ON,169,|,1992-12-02|2010-07-05
5288,BROCKVILLE,4235,ON,170,1871-01-01|1980-12-01,1871-10-01|1980-08-31
5289,BROCKVILLE CLIMATE,47567,ON,171,|,2008-11-20|2021-02-25
5290,BROCKVILLE PCC,4236,ON,172,1965-01-01|2006-12-01,1965-08-01|2021-02-24
5291,BRODDYTOWN,4879,ON,173,1951-01-01|1956-12-01,1951-07-01|1956-08-31
5292,BROUGHAM,4880,ON,174,1965-01-01|1975-12-01,1965-08-01|1975-05-31
5293,BRUCE MINES,4068,ON,175,1898-01-01|1914-12-01,1898-09-01|1914-03-31
5294,BRUCE MINES RADIGAN,4067,ON,176,1978-01-01|1980-12-01,1978-11-01|1980-04-30
5295,BRUCE ONTARIO HYDRO,4546,ON,177,1971-01-01|1977-12-01,1971-08-01|1977-10-31
5296,BRUCEFIELD,4547,ON,178,1903-01-01|1993-12-01,1903-03-01|1993-12-31
5297,BRUCES MILL,4843,ON,179,1969-01-01|1974-12-01,1968-12-01|1974-04-30
5298,BRUSSELS,4548,ON,180,1965-01-01|1967-12-01,1965-08-01|1967-09-30
5299,BURCHELL LAKE,3993,ON,181,1962-01-01|1967-12-01,1962-08-01|1967-08-31
5300,BURFORD,4738,ON,182,1970-01-01|1971-12-01,1970-10-01|1971-09-30
5301,BURK'S FALLS,45349,ON,183,2006-08-01|2006-12-01,2006-08-01|2010-03-30
5302,BURK'S FALLS 2,4424,ON,184,1988-01-01|1995-04-01,1988-05-01|1995-04-30
5303,BURKETON MCLAUGHLIN,4881,ON,185,1969-01-01|2002-03-01,1969-02-01|2002-03-31
5304,BURKS FALLS,4425,ON,186,1888-01-01|1986-12-01,1888-03-01|1986-07-31
5305,BURLEIGH FALLS,5158,ON,187,1976-01-01|1994-12-01,1975-10-01|1994-10-31
5306,BURLINGTON,4882,ON,188,1947-01-01|1974-12-01,1947-04-01|1974-04-30
5307,BURLINGTON DRURY LANE,4883,ON,189,1961-01-01|1970-12-01,1961-10-01|1970-08-31
5308,BURLINGTON ELIZABETH GDN,4884,ON,190,1961-01-01|1977-12-01,1961-12-01|1977-05-31
5309,BURLINGTON FIRE HQ'S,4885,ON,191,1970-01-01|1983-12-01,1970-05-01|1983-01-31
5310,BURLINGTON PIERS (AUT),7868,ON,192,|,1992-12-03|2021-02-25
5311,BURLINGTON SKYWAY,4886,ON,193,1968-01-01|1970-12-01,1968-04-01|1970-06-30
5312,BURLINGTON TS,4887,ON,194,1951-01-01|1999-09-01,1951-04-01|1999-09-30
5313,BURNHAMTHORPE,4888,ON,195,1951-01-01|1955-12-01,1951-05-01|1955-03-31
5314,BURNT RIVER-CLARK,6958,ON,196,1992-01-01|1992-12-01,1992-06-01|1992-08-31
5315,CACHE BAY,4185,ON,197,1981-01-01|1985-12-01,1981-05-01|1985-03-31
5316,CAIRO,4549,ON,198,1965-01-01|1967-12-01,1965-07-01|1967-04-30
5317,CALABOGIE,4237,ON,199,1950-01-01|1956-12-01,1950-01-01|1956-03-31
5318,CALEDON,4889,ON,200,1979-01-01|1980-12-01,1979-10-01|1980-06-30
5319,CALEDON NORTH,27485,ON,201,1998-01-01|2006-12-01,1998-01-01|2006-12-31
5320,CALEDON VILLAGE,11008,ON,202,1993-10-01|1995-12-01,1993-10-01|1995-12-31
5321,CALEDONIA,4612,ON,203,1931-01-01|1966-12-01,1931-01-01|1966-11-30
5322,CAMBORNE,6910,ON,204,1991-01-01|2002-03-01,1991-05-01|2002-03-31
5323,CAMBRIDGE GALT MOE,4739,ON,205,1879-01-01|1994-12-01,1879-09-01|1994-02-28
5324,CAMBRIDGE-STEWART,4740,ON,206,1973-01-01|2000-12-01,1973-09-01|2000-12-31
5325,CAMERON FALLS,3994,ON,207,1924-01-01|1998-08-01,1924-06-01|1998-08-31
5326,CAMERON FALLS (AUT),27674,ON,208,1998-05-01|2006-12-01,1998-03-01|2021-02-25
5327,CAMLACHIE,4550,ON,209,1959-01-01|1968-12-01,1959-01-01|1968-06-30
5328,CAMP BORDEN,4426,ON,210,1960-01-01|1966-12-01,1960-01-01|1966-08-31
5329,CAMP BORDEN A,4427,ON,211,1926-01-01|1945-12-01,1926-05-01|1945-10-31
5330,CAMPBELLCROFT,4890,ON,212,1961-01-01|1964-12-01,1961-01-01|1964-10-31
5331,CAMPBELLCROFT GANARASKA,4891,ON,213,1979-01-01|1992-12-01,1979-05-01|1992-11-30
5332,CAMPBELLFORD,4892,ON,214,1915-01-01|1997-12-01,1915-06-01|1997-12-31
5333,CAMPBELLS CROSS,4893,ON,215,1951-01-01|1951-12-01,1951-06-01|1951-09-30
5334,CAMPBELLVILLE,4894,ON,216,1967-01-01|1968-12-01,1967-06-01|1968-05-31
5335,CANBORO,4613,ON,217,1946-01-01|1971-12-01,1946-09-01|1971-09-30
5336,CANFIELD,4614,ON,218,1969-01-01|1971-12-01,1969-11-01|1971-11-30
5337,CANNING,4741,ON,219,1968-01-01|1971-12-01,1968-04-01|1971-11-30
5338,CARAMAT,3995,ON,220,1949-01-01|1983-12-01,1949-05-01|1983-09-30
5339,CARDINAL,4238,ON,221,1970-01-01|2000-10-01,1970-10-01|2000-10-31
5340,CARIBOU ISLAND,3996,ON,222,1935-01-01|1988-12-01,1935-05-01|1988-11-30
5341,CARIBOU ISLAND (AUT),7582,ON,223,|,1993-01-09|2021-02-25
5342,CARLETON PLACE,4239,ON,224,1948-01-01|1976-12-01,1948-08-01|1976-02-29
5343,CARLETON PLACE,4240,ON,225,1984-01-01|1999-02-01,1984-04-01|1999-02-28
5344,CARP,4241,ON,226,1960-01-01|1975-12-01,1960-05-01|1975-03-31
5345,CARTIER,4108,ON,227,1886-01-01|1948-12-01,1886-08-01|1948-11-30
5346,CASTLETON,4895,ON,228,1972-01-01|1973-12-01,1972-06-01|1973-02-28
5347,CATARAQUI TS,4242,ON,229,1960-01-01|1995-04-01,1960-08-01|1995-04-30
5348,CATHCART,4742,ON,230,1962-01-01|1970-12-01,1962-04-01|1970-08-31
5349,CEDAR VALLEY,4896,ON,231,1971-01-01|1974-12-01,1971-07-01|1974-04-30
5350,CENTRAL PATRICIA,3915,ON,232,1953-01-01|1978-12-01,1953-08-01|1978-12-31
5351,CENTRALIA A,4551,ON,233,1945-01-01|1966-12-01,1945-04-01|1966-08-31
5352,CENTRETON,4897,ON,234,1991-01-01|1992-12-01,1990-08-01|1992-09-30
5353,CENTREVILLE,4898,ON,235,1986-01-01|2006-12-01,1985-12-01|2021-02-24
5354,CHALK RIVER AECL,4243,ON,236,1961-01-01|2006-12-01,1960-11-01|2021-01-14
5355,CHAPLEAU,4109,ON,237,1965-01-01|1976-12-01,1965-11-01|1976-03-31
5356,CHAPLEAU 2,4110,ON,238,1886-01-01|1966-12-01,1886-09-01|1966-10-31
5357,CHAPLEAU A,53603,ON,239,|,2018-10-29|2021-02-25
5358,CHAPLEAU A,4111,ON,240,1978-01-01|2015-03-01,1978-07-01|2015-03-12
5359,CHAPLEAU A,53602,ON,241,|,2015-01-16|2018-10-29
5360,CHARLINCH,4428,ON,242,1883-01-01|1893-12-01,1883-08-01|1893-08-31
5361,CHATHAM,4615,ON,243,1933-01-01|1967-12-01,1933-10-01|1967-11-30
5362,CHATHAM,4616,ON,244,1968-01-01|1972-12-01,1968-06-01|1972-08-31
5363,CHATHAM 2,4617,ON,245,1879-01-01|1946-12-01,1879-02-01|1946-09-30
5364,CHATHAM CFCO,4618,ON,246,1946-01-01|1962-12-01,1946-10-01|1962-05-31
5365,CHATHAM KENT,52118,ON,247,|,2018-10-29|2021-02-25
5366,CHATHAM WATERWORKS,4620,ON,248,1965-01-01|1983-12-01,1965-07-01|1983-05-31
5367,CHATHAM WPCP,4619,ON,249,1983-01-01|2006-12-01,1983-06-01|2019-09-16
5368,CHATS FALLS,4244,ON,250,1950-01-01|1992-12-01,1950-06-01|1992-06-30
5369,CHATSWORTH,4429,ON,251,1953-01-01|2006-12-01,1952-12-01|2013-10-31
5370,CHELTENHAM,4899,ON,252,1950-01-01|1951-12-01,1950-10-01|1951-10-31
5371,CHENAUX,4245,ON,253,1950-01-01|1990-12-01,1950-06-01|1990-12-31
5372,CHESLEY,4552,ON,254,1975-01-01|1976-12-01,1975-08-01|1976-10-31
5373,CHESTERVILLE,4246,ON,255,1965-01-01|1983-12-01,1965-12-01|1983-06-30
5374,CHESTERVILLE 2,4247,ON,256,1983-01-01|1997-10-01,1983-09-01|1997-10-31
5375,CHRISTIE CONSERVATION,4901,ON,257,1976-01-01|1994-12-01,1976-06-01|1994-12-31
5376,CITY VIEW,4248,ON,258,1953-01-01|1960-12-01,1953-10-01|1960-01-31
5377,CLAREMONT,4902,ON,259,1962-01-01|1991-11-01,1962-03-01|1991-09-30
5378,CLAREMONT FIELD CENTRE,4900,ON,260,1970-01-01|1971-12-01,1970-05-01|1971-09-30
5379,CLARKSBURG,4430,ON,261,1966-01-01|1966-12-01,1966-06-01|1966-11-30
5380,CLARKSON,4903,ON,262,1949-01-01|1967-12-01,1949-12-01|1967-09-30
5381,CLAYBANK,4249,ON,263,1961-01-01|1994-12-01,1961-07-01|1994-09-30
5382,CLEAR CREEK,4621,ON,264,1950-01-01|1961-12-01,1950-05-01|1961-06-30
5383,CLIFFORD,4743,ON,265,1950-01-01|1968-12-01,1950-08-01|1967-07-31
5384,CLIFFORD,4553,ON,266,1970-01-01|1972-12-01,1970-06-01|1972-05-31
5385,CLINTON,4554,ON,267,1956-01-01|1966-12-01,1956-03-01|1966-05-31
5386,CLONTARF,4250,ON,268,1882-01-01|1957-12-01,1882-06-01|1957-12-31
5387,CLOYNE ONT HYDRO,5159,ON,269,1967-01-01|1981-12-01,1967-11-01|1981-06-30
5388,COBDEN ONTARIO HYDRO,4251,ON,270,1983-01-01|1986-12-01,1983-05-01|1986-11-30
